Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,ELE Buy,ELE Sell,LV Buy,LV Sell,LT Buy,LT Sell
884507.5,105883.6,63996.3,84607.1,98341.5,55126.4,24191.1,47093,38283.3,37570.8,27558.1,29786.2,54315.3,44855,86641.6,213266.5,251462.6,58580.1,28717.2,140744.8,116197.2,38941,67341.6,32808.8,39501,22675.2,21558.8,7948.6,1781.5,,,17271.2,17271.2
1079788.1,130634.7,94070.9,108257.2,157631.7,62018.9,34180.9,49990.8,64995.5,40541.3,41119.4,31950.7,78083.7,41957.7,118623.5,260082.5,251351.4,82252.6,20702.6,167384.9,128365.9,54286.9,59025.4,46788.9,33956.1,27153.5,29790.8,10689.2,2092,,,19325.5,19325.5
1042113.8,127549.2,80110.3,106319.5,139616.1,59612.8,31073.5,49374.7,57189.5,41372.1,35487.8,33353.5,75961.1,47303.8,121220.1,248963.5,252760.3,77897,25674.4,161472.4,126431,45442.4,69574,45813.2,37439.3,27338.9,29654.2,12430.4,2051.8,,,22124.5,22124.5
1046514.5,126516,82168.7,105673,150121.3,57818.1,33621.8,49999.1,61061.5,41936.1,37110.7,32813.8,76575.2,43172.5,121520.6,248371.1,254330,83005.2,20508.6,164633.4,127522.4,47945,59152.8,45484.9,31551.2,28261,27510.3,9524.8,2398.9,,,23829.7,23829.7
1010525.3,117503.5,77679,99966,136712.1,55664.7,35985.6,47581.9,62754.2,35604.5,42064.9,31436.4,73420.7,43287.5,112162.1,248453.9,251650.4,80688,16538.8,159529.6,130720.4,50833.9,53004.9,42074.9,26108.8,26930.3,26300,8776.8,3230,,,19972.6,19972.6
979326.5,120415.4,74437.8,95496.9,126207.2,55691.4,33142.3,47143.7,57894.5,34862.7,39404.7,31077.6,64371.7,46451,107087,243143.8,248915.2,72682,20440.2,160422.1,131362.7,42489.6,60992.2,34411.8,25784.2,24301,24647,8277.7,2180,,,20168.4,20168.4
1124435.6,133341.5,107279.8,106598.3,163452.1,57983.6,43885,49272.9,76913.4,36898.8,43849.3,32737.8,81269.3,44881.5,126446.9,270522.5,252388.2,95757,20475,174985.1,135287.4,71232.8,49811.4,46967.3,23394.8,27875.1,34369.1,14426.6,4659.1,,,27508.1,27508.1
1127742.3,135637.2,112526.4,107936.3,158949.2,57121.8,42361.6,49654,79552.6,41025.8,47848.4,32486.3,82332,47212.9,127098.9,271612.8,251586.4,94295.2,18896,174059.5,136252.8,67477.4,48125.9,48695.4,19543.1,25488.2,32707.4,11330.8,6252.9,,,27496.9,27496.9
1122229.8,135115.6,107978.5,108079.1,163155.2,59315.2,38525.4,49556.1,78448.1,38852.1,41515.2,32187.6,84742.1,47542.4,128041.1,275354.4,252414.7,93236.8,20319.9,173818.2,137417.7,62005.7,47357.3,49160.3,23468.8,26455.6,37336.1,12621.2,2580.2,,,21905.7,21905.7
1152542.1,144647.1,99732.2,112914.7,165894.7,61878.7,38632.8,50306.2,76231.7,41909.7,40516.1,33369,87980.8,49824.3,129064.5,281866.6,260482.6,96324.9,26734.3,171504.7,138704,64559.7,61752.1,47999.6,28163.2,27872.8,39321.7,12342.2,4109.5,,,27017.2,27017.2
1161714.3,146084.8,104215,113379.2,169043.9,63872.4,41558.9,50578.3,80584.6,42361.9,43517.9,33634.8,86779.5,48843.5,129988.2,275697.6,260416.3,96670.7,27008.9,176360.8,136695.6,66941,51730,48835,28095.6,27380.9,38765.3,11385.4,3626.6,,,27157.4,27157.4
1127754.2,148233.7,96301.1,112601.6,166989.9,65368.3,38428,47554.8,82008.6,41518.2,41579.7,32027.2,78136.2,48243.8,119901.4,270334.3,257701.5,90466.8,25846.7,161347.6,150981,67028.6,46647.4,43458.3,24340.6,27141,31113.9,8348.9,3697.1,,,28142.7,28142.7
1110067.4,155024.2,84703.9,111435.8,159715,66257.1,37386.2,47999.5,81728.5,41367.9,40051.8,30966.4,72602,49816.8,119231.3,287563.6,266088.8,81193.1,26734,157281.6,149218.7,51005.7,49410.8,36480.8,31184.3,27721.8,29794.3,8036.2,4300.9,,,26767.3,26767.3
1230397.9,169183.7,115871.1,120296.7,173712.2,67299.3,42391.4,51808.8,85813.7,43456.9,45533,33638.6,88835.7,53285,131743.7,318896.6,270639.6,90542.5,27669,169719.3,157480.5,69223.7,58610.7,47321.8,30814.6,28351,37856.4,10135.3,6187.6,,,31822.5,31822.5
1224592.4,167931.8,113027,121425.1,181000.3,67307.2,45421.8,52679.3,85909.9,44853.9,45500.3,33668,87799.2,51031,130115.3,304245.3,266686.4,96799.7,24235.3,164271.8,150183.9,73403.6,57055.1,51862.1,39332.4,29902.9,38409.2,10994,5699.6,,,32446.3,32446.3
1234229.8,168732.3,114295.7,122750.3,184852.9,66712.1,45039.4,52622.6,88557.5,44582.2,47399.2,34522.8,85943.1,51919.1,130803.5,303384.3,267419.4,98639.5,22729.3,165723.9,152495,79010.4,57018.2,51153.9,39573,29298.8,40072.3,11829.9,4683.6,,,32257.8,32257.8
1241344.3,171159.4,120001.9,125543.3,186828.5,68577.2,44364.6,53277.5,88228.2,44070.7,48709.9,36984.7,87494.8,53944.3,133043.4,307532.2,247610.7,95048.9,27827.2,175424.4,158235.1,72341.2,59734.8,48384.2,42863.8,28734.6,40181.2,9099.5,4998,,,31865.1,31865.1
1235250.6,169078.6,113498.5,123368.1,181373.9,67663.7,41465.9,50633.3,86222.2,44550,47353.1,36083.8,88771.2,54295,133159.5,312134.1,245494.2,96103.1,28339.6,182259.8,157917,60804.9,66732.8,48232.2,48284.7,29712.1,40148.6,8326.3,4483.8,,,29261.5,29261.5
1160104.8,162005.1,88626.7,118771.5,158913.2,68926.3,34010.7,47583.6,79542.5,43011.4,42562.9,32908.8,76581.8,49480.8,125338.2,309294.5,267177.4,88550.4,29352.7,165044.2,155259,43089.6,64343.9,40688.5,48716.7,28506.3,31645.1,8033,3823.2,,,27010.3,27010.3
