Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
884299.9,96181.6,38874.5,97551.3,102157,53118.5,25273.5,45077.7,58269,48956.6,74914.8,29094.6,28484.3,42171.2,100434.3,219100.2,250234,64924.6,29516.1,134388.7,98827.4,28305,67216.9,30229.4,33949.9,18518.5,17680.5,6604.2,0,17821.4,6211.3
1020909.8,110341.6,43492.4,108974.8,130741.2,58462,35952.8,48879.4,67871.1,51723.3,95419.5,30165,49466.6,41380.2,120031.6,238664.2,255381.2,85019.7,24404.4,152884.2,107438.3,40980.5,61579.2,43413.6,32247.7,20658.4,25003.8,9563.9,0,17067.4,9148.4
999570.1,106565.6,41075,107237.3,123593.8,58728.7,35496,47021.6,63677.2,50629.9,88014.7,30439.5,47706.2,40321.4,118482.1,240145.1,253815.1,79441.6,22622.3,151959,107010.4,34723.3,68662.1,41390.5,32666.4,21952.5,27282.5,6980,408.7,26248.3,13271.8
933224.4,97070.8,38799.7,100341.3,116577.4,57919.3,30491.5,44043.9,62998,48544.5,83203.6,29340.1,37556.7,41396.1,109897.9,218122.3,248639.2,73996.7,23186,144881.5,102373.4,28847.6,57949.2,38020.9,28980.3,19711.1,21089.2,6975.9,508.8,22054,9015.1
951251,96252.3,43047.2,100004.7,132635.5,58610.3,32081,45239.8,63602.6,48918,96155.1,28429.4,38299.2,41478.1,110654.9,235917.2,251530.8,75174.2,21373.3,142502,102470.4,37916.7,48909.8,36300.9,24520.1,19054.7,20024.4,8225.8,0,21503.3,10223.1
961145.4,110507.7,42193.6,107561.9,125994.6,62123.3,29253.8,49392.6,59240,52816.6,86095.3,29055.9,36235.7,41117.4,108855.1,231079.3,255713.8,69599.7,26624.4,140261.1,101000.5,34272.2,72944.8,38054,40976.5,22726.8,23382.4,7108.1,0,24621.6,11787.7
1037903.7,109066.5,46859.7,108783.4,143560,61758.8,31811.3,50016.9,61646.7,51924.1,99508.3,30910.9,49122.9,43067.3,110978.5,247274.7,257166.9,83094.5,25263.4,158789.5,116061.7,38216.2,67155.5,44632.7,33704.3,22361.5,27048.8,7165.4,83.7,25056.2,12146.9
1048985.5,110851.5,45877.4,109949.4,149274.1,62570.6,32419.8,50332,64006.1,52669.8,98119.1,31160.5,51180.5,44756.7,112578.1,243075.6,263172.9,83305.2,23780.4,157399,117472,39515.1,63154.2,46245.3,29740.5,22419.2,24862.5,8226.2,0,26875.5,13714
1049980.3,113997.5,47320.4,114026.2,151283.7,61610.3,34612.1,50825.9,67022.4,53089.8,105052.3,31751.2,53341.2,43576.8,113375.5,252031.4,259374.2,81357.6,21497.4,158362.5,117191.2,39691.5,56487.8,40853.9,33091.6,22961.7,23535.1,4661.6,170.7,25210,10652.3
1077531.1,117914.6,48314.9,118297.6,155645.6,62956.1,36938.1,52845.3,61378.2,54205.6,108623,33924.4,57072.9,46591.2,122925.6,259559.2,257394.2,81950.4,24139.1,162305.2,111271.9,36925.2,59328.1,42871.5,36992,22372.6,27687,5077.6,1632,25788.5,14242.4
1056848.1,118640.1,49243.4,110436.3,142691.5,64476.9,36437.1,52416.9,52736,51809,111627.1,34117.3,48665.2,50091.4,119232.2,257744.5,262841.9,67751.1,24691.4,160161,117153.1,33435.2,58701.2,40844.3,34556.5,20465.7,23123.5,10032.6,0,21642.5,12364.7
1064773.2,121053.9,48907.5,113424.1,147823.4,67559.7,36349.7,52460.6,60365.8,53356.4,113132.3,34773.3,52281.9,51197.9,115573.3,266985,264633.8,70165.3,26284.7,161463.3,116363.1,34455.2,58054.2,36932.7,39147.8,21574.9,21535.7,4038.1,180.4,23017.7,11824.5
1286749.6,151018.6,53922.4,121260.5,196877.9,70288.4,53174.7,56299.8,81245.4,58882.6,136974.7,38147.7,84578.1,57673.6,141394.3,324858.2,274273.2,105278.3,27922.1,192188.2,135295.3,54727.1,64342.2,48781.6,32968.5,23396.4,32744.4,4945,2480.3,24673.9,14226.4
1279641.5,151368.8,52726.6,128271.1,200424.9,69398.2,54366.1,55867,84671.7,59491.6,144020.7,35926.7,82858.3,53354.3,137589.4,306320.8,275128.2,95026.9,22708.6,191144.6,138149.4,67947.6,51314.7,48419.8,27002.7,24613.7,28606,4634.2,2114.6,25382.6,15486
1280068.4,152251.7,54413.8,128033.8,202032.6,70326.1,53966.6,57089.4,85864,60400.3,144783.6,37364.8,81993.5,55463.2,134680.4,306729.1,264873.9,102189,24073.6,193206.1,139908.9,54546.5,61559.7,50614.1,28669.3,25398.9,26580.4,4438.7,3242.3,26441.8,17850.9
1239863.1,147126.9,48575.5,122023.8,186383.3,69576.8,47284.5,57186.5,73966,58734.6,124752.9,38994.1,62925.3,54554.4,129315.8,294301.1,270588.3,97824.7,33686.6,191528.1,140292.9,37326.3,72941.9,49318.2,39455.9,25400,26293.6,4391.6,3724.7,28562.1,16662
1246563.7,148602.6,49594,122187.2,188165.1,69449,50353,57187.9,76831.3,59293.1,130330.5,37365.9,74048.5,52414.4,128893,293098,274496,96930.7,35503.2,195228.2,138972.6,52154.9,62735.6,47411.6,28886.6,26417.7,28438.7,4354.5,6031.6,28410.8,17226.8
1142764.7,139161.4,47081.5,118213.5,167452.6,70665.9,38429.1,53759,61100.4,56273.7,109423.2,37050.4,50744.3,53319.9,118535.2,266016.8,272223.6,81638.7,34706.7,181392.8,133788.9,31630.3,71274.3,37935.5,37941.1,23599.2,27171.8,3816.3,376.9,27307.9,11531.7
1128006.2,138713,45945.9,120693.5,161702.7,69685.9,36378.7,53222.7,61605.3,56000.2,107174,36378.3,55011.8,53271.5,101135.4,267792.4,271939.3,76788.1,39005.1,178964.5,133322.7,27544.7,78162.3,38228.8,44469.7,23047.2,22824.4,5648.6,633.5,25085.3,11753.9
1276789.8,152139.7,47897.2,127662.5,185719.1,69847.6,44824.4,55716.3,74141.1,58985.2,128871.2,38389.7,82475.5,54386.3,134328.3,305149.9,272564.2,99996.4,39324,200694.8,142887.8,49943.5,73576.3,48436,40053.9,26504,30162,6093.7,5530.2,25529.7,17120.1
