Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,FRE Buy,FRE Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
1048265.1,114231.7,43086.6,114365.9,191842.1,60028.8,37169.2,45714,54285.7,58792.4,88643.1,31256.8,79240,39391.5,122603.2,232434.1,229958.6,79588.6,19556.9,167436.8,130377,0,2240,44124.4,31778.1,48546.4,19716.6,19709.1,19913.3,18765.7,11110.3,24907.8,17773.3
1084366.7,121832.7,37478.1,114496.4,173718.9,66327.3,31918.4,47207.8,45221.8,60824.1,82885.1,31945.5,78320.6,46246.8,114706.8,243871.1,230872.1,71964.2,33146,186490.8,139048.8,0,2380,33381.9,81358.3,43974.4,33776.6,21772.5,19899.1,20654.4,13446.1,27859.6,20744.7
1138632.6,132963.1,45420.4,121323.6,182840,70086.6,36401.9,49348.8,56119.5,65136.3,93996.9,32833,80039.9,44533.1,112786.7,269438.4,233031,79946.3,28551.4,185273.9,137692.7,0,3328.7,34294.4,91453.1,40537.3,40274.1,22658,21539.5,20710.4,14391.6,27836.8,19059.6
1291483.8,153509.4,47299.8,131933.3,205951.6,75343.2,46398.3,54279.2,74152.8,70941.1,124490.6,35974.4,84141.7,48474.1,148711.6,302732.9,241434.4,89538.5,27824.9,214372.7,162092.4,0,3360,45760.5,83294.6,52474.2,37498.2,26999.9,31791.4,23938.1,19111,32628.5,21365.6
1324801.8,154210.1,48895.2,137612.9,217619.5,75881.5,54885.2,57188.5,75613.4,72087.6,137857.2,36171.3,86087.2,51223.7,144495.6,299426.9,244214.1,90873.8,25266.3,224447,171701.5,0,3360,48983.2,75539.8,57372.7,32249.5,28367.2,31783.2,24944.2,22452.9,37334.8,24104.8
1329910.6,162218.6,48802.9,143054,219799,76718.9,58182.3,56981.1,84178.9,74683.8,153911.6,36689,88869,51210.9,140217.6,300530.9,247027.9,86911.9,24377.6,220151,162769.3,0,3360,52449.3,64244.6,56507.7,30895.9,29371,36194.1,25934.1,22956.3,41126.1,28751.3
1394298.6,167495.7,50846.1,145087.1,220116.1,78904.8,59866.6,58145.3,84688.3,74962.8,159151.2,38682.1,86371.2,58391,140827.3,327649.1,253732.1,91186,26132.2,244765.9,180571.2,0,3360,48137.8,73222.7,48277.4,43331.7,29137,37038.3,25481,27540.3,39431.9,28939.6
1372249.6,165372,50162.9,140513.9,209520.4,79902.1,54831.1,58592.7,92133.2,75632.7,150585.6,41808.7,86056.1,57274.9,134749.2,310568.5,254431.1,89305.2,28088,247966.9,183495.7,0,3360,49425.5,77592.5,48587,42051.7,29224.5,41446.8,26311.2,23497.9,39753.4,28255.6
1290301.2,154228.9,50037.5,134523.6,207648.5,77011.8,56092.8,53421.1,93000.2,70698.2,151379.1,37010.3,73828.4,52501.8,135983.4,284441.2,248701.2,93592.1,18600.1,223272.7,168596.7,0,3360,42304.3,52835.3,51865.6,27662.4,26753.4,28960.2,23733.1,16965.8,34503.4,26209.9
1217601.1,152722.3,48165,126102,184992.7,76396.7,49518.5,52570.2,87109,69956.7,125259,37511,60230.3,50848.9,113596.5,263778.1,244028.8,78531.3,26886.4,212512.4,160949.6,0,3360,38696,79730.6,42389.9,33632.8,26308.9,26029.1,22117.7,18485,33524,22160.7
1301100,160150,59122,126973.3,206159.6,76961.3,56249.2,57865.4,93919.8,72537.9,134411.3,39189,82063.4,49753.9,153255.7,282097.9,246654.4,94792.6,19276.9,226284.6,165566.7,0,980,58960.6,57151.6,53705.6,25343.5,28381.5,43004.8,24263.2,21131.4,36037.6,23683.9
1306594,161773,58692.2,126546.7,201456.3,76835.5,54159.8,59211.2,92191.6,72120.4,148690.9,37322.2,84782,49428,152303.5,293070,232558,92801.6,20955,219923.3,169078.3,0,980,56800.3,57122.3,49194.5,29961.2,29624.6,37866,25117.4,22987.2,36233.6,22270.8
1337190.6,164971,61967.7,125785.7,204604.9,76712.5,52469.1,60021.5,92944.6,71708.5,155149.3,39424.6,89966.3,52975.6,153800.1,310409.8,227635.8,96209.5,24442.8,219263.2,170446.1,0,980,58764.1,62996.5,49229.7,36909.5,29743.1,37689.4,24889.2,24195.9,36307.3,20265.4
1394288.5,174957,61851.1,130947.4,210795.2,77942.5,61007.3,59634.4,96451.6,73061.9,166112.6,39212.3,93327.5,55927.8,153195.9,343406.1,235209.8,98735.9,25888,222992.1,177676.8,0,980,58509,63001.2,50042.6,39803.2,28973.5,38521.4,24364.4,27074.4,34097.2,21908.1
1409075.5,179828,61571.6,133886.6,213727,80068.1,59281.1,59014.3,94068.2,73048.7,170587.9,37402.5,91905.3,55486.2,158261.6,350194.2,250446,95582.7,25279.5,227645.3,173702.6,0,980,58280.6,62145.8,50639.5,39653.6,28944.7,40756.6,24104.6,27931.5,35191.5,19019.2
1348537.7,170320,60278.9,132558.1,204782.1,78132.6,57594.8,54686.8,94259.6,71321.8,167460.2,35500,78404.4,50243.4,157285.7,321010.7,251940.7,95585.4,19339.2,219671.8,173578,0,3360,52083.1,53539.5,51508.1,26173.1,27377,27968.6,21938.6,18110.7,37227.7,25089.6
1308624.1,162246.1,58767.3,129730.6,188451,76361.8,58863,53333.7,93635.5,69926,160098.9,35534.3,71116.6,47204.6,148885,307354,252034.6,92994.6,19387.3,216409.5,170426.7,0,3360,56740.2,54893.2,49350.1,30500.8,24935.9,26747.5,21971.6,20102,31274.9,18098.5
1382387.7,175648.6,58705,137259.6,207315.1,77444.7,62291.9,58559.4,91419.4,73482.2,168910.4,38362.3,87612.4,52145.3,149790,318436.6,258850.1,98743.5,21883.3,241724,172095,0,980,60279,61356.6,50072.5,34833.9,27926.6,42086.4,24592,27469.1,35749.1,24826.8
1407040.1,178287.3,59133.3,144041.3,214614,76598.6,61492.5,59024.1,89178.3,75011.4,169973.2,42303.1,88655.8,55907,142289.3,332641.6,262512,92292,28140.6,241170.7,176486.7,0,980,58501.7,65233.1,51428.4,37517.7,27633,45881.8,23849.6,27085.8,36404,25919.7
1441192.6,176120,58863.6,146738.5,218645.3,75906.1,62119.6,59387.8,88890.7,74491.6,170218.3,43422.3,91401.6,59261.4,152829.3,345884.4,270354.4,99006.7,30508.3,246229.9,183700.8,0,1540,64571.4,67589.8,50025.5,38430.4,27149,44651.4,24857,26972.5,36777.1,23112.7
1462998.7,176923.5,58428.4,140663.9,222715.9,77147.3,62390.1,58704.7,91559.7,75431.9,171681.6,44291.9,93523.2,62272.5,156330.1,358711.2,270869.1,105419.2,31527.5,247453,186036.7,0,1540,67222.1,66572.2,48407.8,41811.1,27658.9,40290.1,24709.8,27176.1,33796.9,26414.1
