Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,ELE Buy,ELE Sell,LV Buy,LV Sell,LT Buy,LT Sell
33999,4060.2,2537.6,3417,3672.6,2280.9,862.8,1871.8,1391.5,1607,1122,1178.9,1304.8,1979,2905.4,7994.5,10715.5,2009.4,1382,5720.3,4534.8,1199.8,2611.5,1242.9,1886.2,963.6,798.9,289.7,89.4,,,691.7,691.7
33050.9,3967.3,2475.7,3388.6,3646.6,2232.7,799.3,1856.8,1390.2,1574,1125.6,1158.6,1239.8,1947.8,2482.9,7785.2,10614.2,1945.8,1474.1,5411.6,4416,1192.3,2497.6,1191.5,1855.2,916.2,750.6,289.7,90.3,,,828,828
32363.8,3861.2,2385.3,3175.5,3447.2,2200.6,773.9,1842.9,1369.6,1554.2,1110.4,1147.9,1135.1,1925.5,2264.4,7621.9,10598.7,1892.9,1445.1,5254.4,4329.4,1194.9,2451.9,1136.5,1807.5,869.9,750.7,281.5,90.6,,,796.3,796.3
31849,3766.6,2323.7,2970,3260.9,2167.4,758.6,1825.3,1334.1,1547.8,1039.8,1162.1,1114.6,1900,2156.1,7496.8,10528.7,1854.1,1434.6,5184.4,4271.4,1212.9,2473.9,1082.6,1763.6,847.8,748.7,281.7,90.8,,,775.1,775.1
31871.9,3742,2208.1,2992.2,3382.3,2160.6,751,1812.9,1322.5,1544.5,993.3,1164.9,1128.1,1899.8,2183,7477.2,10550.4,1850.5,1429.3,5266.8,4282.5,1216.1,2489.1,1034.5,1746.5,840.6,742.7,285.6,79.4,,,767.2,767.2
32323.4,3787.5,2109.6,2979.6,3470.6,2159.9,768.5,1819.9,1311.3,1545.8,964.7,1167.5,1187.6,1915.1,2452,7593,10509,1889.3,1448.1,5452.1,4339,1290.7,2604.6,1024.1,1786.2,849.6,743.7,294.9,74.1,,,684.4,684.4
33277.1,3959.5,2207.2,3018.2,3518,2194.7,809.9,1831.9,1316.7,1555.2,980.7,1176.9,1309.4,1929.9,2633.6,7825.3,10556.4,1991.5,1439.7,5386.5,4540.5,1361.7,2616.7,1062.7,1730.2,858.4,747.7,321.9,67.6,,,688.9,688.9
34209.6,4123.9,2355.5,3081,3532.8,2239.3,864.4,1865.3,1340.2,1544.6,961.2,1187.9,1619.8,1931.7,3006.7,8084.9,10531.6,2077,1439.4,5561.5,4633.8,1477.4,2630.1,1099.1,1723.1,864.4,766.1,329.5,62.8,,,703.2,703.2
34713.7,4156.5,2328.9,3162.1,3593.3,2225.4,912.3,1897.4,1310.5,1540.8,997.2,1199,1977.5,1968.8,3100.3,8258.2,10425.1,2149.2,1428.5,5584.4,4689.1,1530.3,2649.3,1129.9,1755,874.5,789.6,340.4,60.3,,,709.4,709.4
35410.4,4225.1,2396.5,3192.6,3594.9,2227.1,923.4,1935.6,1339.3,1563.4,976.7,1214.1,2047.9,1911.6,3166.4,8402.2,10393,2214.2,1430.6,5684.8,4794.9,1662.7,2922.7,1205.6,1817.7,906.7,833,350.9,59.6,,,712.3,712.3
36609.8,4476.3,2630,3300.1,3492.4,2264.3,1012.2,1967.8,1419.9,1589,1080,1227.7,2409.5,1956.3,3466.9,8723.6,10422.9,2342.1,1413.9,5745.1,4860.8,1754.6,3010.3,1291,1784.1,922,848.1,350,58.9,,,716.1,716.1
37476,4632.8,2641.5,3338.5,3663.2,2292.2,1040.9,2012.3,1463.6,1617.3,1089.9,1248.5,2673.2,2016.4,3664.3,8970.3,10411.1,2467.1,1382.8,5754.7,4934.6,1805.6,3138.1,1351.7,1769.2,930.2,876.7,370.2,58.7,,,716.8,716.8
37786.7,4709.1,2675.2,3514.5,3840.8,2325.1,1058,2037.1,1504.2,1632.1,1123.7,1260.5,2668.6,1861.8,3875.7,9183.2,10322.2,2558.8,1356.8,5710.6,4978.3,1788.8,3187.8,1384.8,1740.1,932.4,878,369.3,58.7,,,715.7,715.7
38039.6,4697.9,2699.7,3704.9,3959.3,2322.1,1063.7,2063.7,1522.1,1633.9,1125.7,1269.6,2753.1,1865,3963.9,9301.9,10335.5,2614.3,1318.8,5791.9,4969.4,1748.9,3380.8,1390.9,1678,945.2,882.1,360.7,58.8,,,714.4,714.4
38675.4,4740.4,2672.1,3494,3816.1,2358,1086,2084.5,1556.5,1651.5,1113.7,1292.1,2904.3,1894,4124.8,9461.4,10398.6,2654.8,1308.5,6071.7,5048.2,1698,3524.1,1400.5,1613,966.3,913.1,369.2,57.4,,,712.6,712.6
39905.5,4883.9,2784.1,3444.9,4367.9,2434.2,1092.5,2076.1,1617.8,1548.2,1140.2,1320.5,3128.1,1948,4338.5,9951,10430.4,2742,1218.6,6424.8,5046.1,1703.2,3512.3,1447,1612.3,1053.6,986.1,354.1,56.6,,,715.2,715.2
41103.4,5032.5,2953.2,3626.1,4954.8,2472.4,1195.3,2083.3,1836.5,1539.9,1204.4,1334.6,3269.3,1886.4,4517.1,10334,10422.4,3047,1013.4,6478,5187,1881.4,3524.7,1617.2,1605.6,1074.1,1029.3,360.6,54.5,,,720.2,720.2
42030.2,5015.2,3403.4,4254.3,5415.5,2404.2,1300.5,2078.7,2317.5,1549.4,1513.1,1351.4,3517.9,1886.4,4863.5,10425,10506.7,3229.2,587.9,6496.7,5425.2,2113.5,2886.7,1733.8,1056,1064,1059.3,358.8,107.4,,,718.7,718.7
43448.8,4928.8,3441.4,4249.2,6041.2,2385.7,1384,2065.6,2325.4,1551,1526.1,1334.6,3583.6,1760.1,5021.2,10380.4,10519.6,3200.7,576.3,6455.6,5521.4,2557,2312.5,2311.6,1109.4,1054.4,1112.8,351.1,110.9,,,714.9,714.9
