Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
33791.1,3667.8,1664.8,4281.8,3737.6,2132.2,1038.9,1758.3,2368,1939.8,2965,1140.3,880.9,1592.9,3066.2,8333.6,10376,2300.4,1091.8,5193.7,3854,711.3,2137.3,1122.9,1659.9,619,732.6,457.7,0,590.4,269.1
32659.4,3555,1663.9,4228.4,3558.1,2135.6,893.9,1740.1,2209.5,1916.4,2866.8,1134.8,847.1,1572.3,2584.4,8215.3,10386.7,2237.9,1396.2,4933.3,3850.9,768.7,2387.4,1078.1,1532.4,604.9,722.5,415.5,0,625.7,262.2
31997.4,3448.8,1641.6,4004.4,3368.6,2099.6,841.5,1723.1,2138.1,1896.1,2736.1,1126.9,816.1,1558.9,2365.1,8049.8,10385,2187.2,1408.4,4800.2,3794.6,832.7,2422.2,1018.8,1492.3,592.9,703.1,385.2,0,649.4,261.3
31652.2,3387.8,1597.6,3508.7,3054.2,2096.4,813.7,1702.9,2111.4,1883.9,2508.6,1128.9,757.2,1559.2,2258,7942.1,10383.3,2145.3,1424,4779.2,3782.9,855.2,2427.1,970.9,1483,580.7,660.5,365.8,0,616.9,262.4
31636,3359.1,1543.7,3418.1,3245.6,2065.4,808.3,1706.4,2114.4,1877.4,2252.6,1137.6,741.3,1561.4,2223,7923.5,10394.2,2120.3,1442.6,4868.9,3790.4,878.9,2484.3,935.8,1459.4,590,648.9,356.5,0,610.1,260.7
32253.6,3437.6,1625.6,3429.9,3522,2070.9,792.5,1707.4,2117.6,1884.1,2319,1149.9,753.7,1591.8,2394,8072.9,10398.2,2157.5,1454.8,5118.1,3766.1,922.3,2599.2,936.4,1430.5,606.2,660,377.5,0,628.3,257.6
33563.1,3562.5,1616.7,3488.8,3588.1,2108.5,779.7,1736.9,2128.7,1907.1,2398.6,1162.6,814.1,1806.7,2818.8,8307.5,10379.5,2225.4,1497.8,5172.9,3841.8,1101.7,2962.6,970.6,1409.7,639.8,664,298.3,0,666.1,255.3
34689.1,3700.5,1576.3,3543.1,3881.2,2137.7,769.8,1772.7,2091.6,1960.4,2489,1168.8,837,1800.3,3103.9,8613.1,10409.3,2288.8,1444,5401.9,4090.5,1284.6,3205.7,1003.4,1525.3,688.9,672.4,306.9,0,679.6,254.7
35514,3839.6,1654.6,3579.8,4026.6,2154.9,749.9,1810.6,2117.3,1990.7,2604.3,1192,928.1,1891.3,3290.3,8853,10408.4,2333.2,1452,5474.2,4196.8,1312.5,3278.5,1028.9,1547.3,721.8,665.5,256.1,0,734.5,253.5
36025.8,3981.6,1601.4,3647.6,4132.5,2207.5,746.5,1852.3,2105.8,2041.4,2542.3,1202.7,1119.6,1910.9,3662.9,8855.9,10397.3,2368.9,1467.3,5518.4,4186.2,1247.7,3238.7,1083.4,1577.8,767.5,686.5,229.9,0,802.5,253.4
