Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,FRE Buy,FRE Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
37332.4,4220.9,1373.7,4564,4648.3,2777.5,1917.5,1880.3,1598.3,1965.3,2898.2,1278,954,1510.6,2008.4,7697.5,11237.6,2099.4,1274,6493.3,5391,0,0,1063.5,2961.8,1589.4,1375.1,648.7,716.6,687.4,249.4,950,821.9
36465.9,4089,1372.5,4530.9,4498.5,2780.4,1875.5,1870.2,1605.6,1934.6,2731.5,1260.2,915.3,1525.4,1928.4,7547.1,11202.3,2057.5,1269,6255.8,4893.4,0,0,1028.4,2931.9,1449,1372.5,624.8,704.3,660.1,249.9,902.8,965.6
35859.1,4149.5,1505,4500.7,4439.5,2760.8,1853.1,1846.7,1606.2,1914.2,2629.9,1248.2,901,1561.5,1861.9,7448,11162.5,2014.6,1257.9,6114.1,4497.7,0,0,991.9,2843.7,1342.9,1363.1,609.9,696.1,613.4,249.8,870.1,1119.1
35440.3,4130.9,1495.1,4465.7,4403.3,2734.2,1731.1,1826.5,1516.9,1914.7,2614.9,1243.5,877.1,1598.8,1817.9,7357.7,11117.7,1975.1,1393.6,6097.4,4423.4,0,0,985.7,2702.7,1169.1,1332.1,600.3,684.5,598.3,249.6,853.9,1191.9
35512.7,4140.6,1504,4472.1,4407.7,2716.1,1830.7,1815.5,1624.9,1927,2635,1250,888.2,1641.2,1767.6,7376.6,11064.9,1964.1,1373.3,6209.7,4473.4,0,0,942.4,2539.3,1091.4,1370.5,599.5,676.6,582.7,249.3,856.6,1180.1
36177.4,4221,1504.4,4516,4450.9,2717.5,2135.9,1824.2,1678.3,1943.3,2745,1256.8,906.7,1693.6,1798.5,7537.5,11016.2,1984.7,1345.3,6476.3,4743.3,0,0,984.5,2476.5,1070.7,1437.7,617.3,663.2,585.8,247.3,896.3,1176.3
37422.6,4374.3,1494.4,4594.8,4545,2712.8,2249.2,1856.8,2041.5,1981.4,2881.1,1291.7,1106,1703.6,1812.3,7813.7,10988.7,2062.7,1297.3,6457.3,4968.6,0,0,1016.1,2526.1,1133.8,1541.8,643.9,654.6,609.9,244.9,934.2,835.5
38361.9,4443.4,1498.6,4676.1,4444.7,2726,2299.6,1885.4,2242.8,1999.1,2976.3,1307.3,1247.6,1757.9,2015.2,8138,10951.1,2140.5,1274.5,6720.3,5065.2,0,0,1093,2662,1168.7,1713.7,669.5,647,621.1,420.1,952.6,840.5
38997.9,4591,1536.7,4462.8,4260.3,2753.5,2301.2,1925.1,2557.6,2026.7,2898.5,1337.3,1273.1,1787.6,2220.6,8398.4,10928.4,2224.2,1224.4,6835.2,5116.8,0,0,1149.9,2784.9,1203.8,1899.8,689,645.1,634.3,479.5,1029.6,921.5
40187.6,4803.1,1540.9,4848,4517.2,2788.3,2251.4,1970.6,2261.7,2075,3233,1350.6,1257.7,1806.1,2415.3,8652,10922.3,2302.7,1311.7,6998.2,5526.9,0,0,1231.8,2884.8,1272.4,2009.4,733.5,640.3,668.2,520.3,1074.9,1282.5
41435.4,4949.1,1531.6,4876.1,4695.4,2821.7,2352.9,2003.1,3128,2108.8,3363,1372.6,1311.7,1839.3,2543.6,9099.2,10902.9,2401.6,1198.6,7176.5,5456.1,0,0,1305.5,2945.5,1357.2,2001.2,764.4,636.1,714.3,566.2,1105.9,1262.5
42314.6,5077.5,1537.3,4918.1,4766,2852.6,2412.3,2041.5,3371.5,2142.3,3463.6,1387.3,1396.3,1843.1,2654.8,9437.8,10888.7,2497.8,1214.2,7204,5500.8,0,0,1378.3,3149.5,1413.3,1936.6,773.3,652.3,735.8,613.2,1117.7,1263.3
42873.9,5120.2,1540.9,4944.7,4791.1,2872.4,2449.3,2069.2,3544.1,2155.3,3490.2,1391.2,1437.4,1833.5,2971.4,9642.1,10884.3,2570.2,1128.3,7252.6,5539.9,0,0,1482.5,3215.6,1448.9,1892,775.4,668.3,742.3,609,1118.8,1257.5
43323,5176.2,1553.3,4950.9,4935.7,2880.2,2542.8,2100.8,3591.7,2149.7,3615,1418,1509.6,1827.1,3063.2,9769.8,10899.3,2622.3,1089.6,7249.8,5880.8,0,0,1496.7,2865.4,1466.7,1611.3,776.8,703.4,751.6,608.3,1114.3,1281.5
44182.4,5223.4,1587.5,5017.7,5907.5,2902.5,2663.9,2126.4,3656.9,2164.7,4241.1,1424.9,1535.4,1831.1,3300.4,9937.7,10924.9,2701.3,1066.9,7527.7,6110.4,0,0,1520.2,1826.4,1714.2,1188,806.4,715.9,772.6,786.9,1118.8,1277.5
46133,5353.8,1598.4,5070.4,7167.4,2936,2697.6,2143.6,3718.3,2186.9,4685,1449,1693.8,1831.6,3572.2,10332.8,10899.5,2911.8,873.7,7821.6,6151.9,0,0,1617.7,1923.8,2121.9,1151.3,877.3,741.6,851,966.2,1198.8,863.5
47425.5,5451.3,1617.6,5123.7,7781,2959.4,2697.6,2129.3,3726.2,2218.9,4851.7,1451.7,1843.5,1838.1,3827.3,10695.8,10928.8,3306.1,884.5,7871.5,6125.5,0,0,1853.1,2046.2,2256.2,1088.5,882.6,756.3,878.8,1165.3,1276,852.5
47940.7,5426.8,1621.8,5164.1,8091.7,2968.7,2712.7,2120.4,3725.7,2263.4,4970.5,1452.8,1885.3,1762.5,3868.3,10763.2,11057.7,3486.9,864.3,7905.3,6138.5,0,0,2067.4,2019.5,2337.1,984.7,869.4,776.3,871.7,1164.9,1268.5,846.3
47607.5,5357.8,1619.5,5135.5,7857,2955.1,2709.5,2115.9,3721.1,2244.2,4897.5,1437.6,1831.8,1744.8,3983.3,10679.1,11075.7,3517.3,854,7891.5,6114.7,0,0,2024,2008.4,2338.8,933,854.6,792.1,863,1160.1,1243,844.5
46874.2,5281,1607.4,5024.5,7371.4,2936.3,2692.3,2111.1,3710.9,2207.4,4744.6,1420.4,1731.8,1735.9,3940.8,10478.6,11139.6,3514.5,855.7,7749.9,6133,0,0,1871.3,2032.7,2255.4,913.9,835,794.2,841.7,964.2,1213,843.5
45618.8,5191.5,1601.9,4965.2,6837.6,2915.5,2714.2,2103.3,3699.8,2159,4592.6,1403.1,1320.6,1752.1,3882.5,10182,11034.1,3418.2,870.2,7483,6079.8,0,0,1713.9,2039.3,2148.8,946.2,815.1,794.5,813,963.1,1156.2,843.5
44559.5,5069.6,1590.3,4889.7,6369.8,2885.1,2694.5,2092,3688.7,2142,4462.9,1403.5,1258.5,1735.6,3580.6,9809.3,11037.9,3270.8,951.3,7681.7,6043.1,0,0,1536.3,1892,2043.9,959.8,767.6,797.7,761.8,823.2,1067.3,1005.9
43661.8,4920.3,1581.4,4898,5912.8,2861.7,2669.2,2092.6,3672,2109.1,4176.5,1384.1,1168.5,1759.4,3042.8,9606.2,10987.4,3077.8,1044.1,7597.1,5975.9,0,0,1416.5,1990.1,1939,958.2,723.4,822.4,700.3,563.9,992.1,1512.4
42184.8,4755.3,1500.9,4822,5548.3,2863.7,2641.7,2062.8,3589.5,2077.1,3971.6,1351.9,1123.3,1782.9,2564.1,9241.8,10967.9,2881.4,1035.9,7192.4,5804.4,0,0,1310.7,1992.9,1842.8,947.4,683.5,840.9,653.3,384.4,935.8,1544.2
41302.8,4957.3,1859,4768,5467,2871.7,2506.6,2028.6,3516.2,2043.5,3428.5,1335.1,1041.5,1638.6,2495.5,8982.3,10929.4,2638.3,1026.9,6959.5,5662.5,0,0,1313.2,1906.7,1766.7,861,656.7,880.5,603.5,570.3,908.7,1320.1
40362.8,4858.1,1858.7,4684.9,5184,2907.6,2385,2002.3,3480,1991.1,3020.5,1325.6,1032.2,1613.6,2430.6,8859.8,10920.6,2523.7,1016.9,6779.6,5627.6,0,0,1273.1,1903.7,1572,858,637.3,908.3,584.2,570.8,889.9,1305.9
39699,4806.9,1850.4,4677.3,4764.5,2919.5,2289,1982.3,3385.1,1981.2,2641.9,1328.4,1025.4,1614.3,2398.4,8797.9,10939.6,2528.6,1038.4,6705.8,5554.7,0,0,1268.7,2109.2,1088.1,1001.6,630,931.6,587.7,573.1,881.1,1294.9
39850.8,4813.2,1854.2,4690.8,4807.7,2922.4,2243.6,1988.2,3340.4,1976.3,2712.1,1344.4,1019.5,1611.5,2401,8845.3,10947.4,2541.9,1058,6741.9,5578.6,0,0,1289.6,2027.9,1085.3,1209.1,638.6,913.3,593.5,575.1,891.7,1286.7
40855.4,4972.5,1866.6,4742.2,5257,2938.2,2270.1,2002.4,3394.5,1990.4,3080.2,1364.4,1012.9,1617.9,2454.9,9020.5,10962.9,2598.9,1057.7,7163.9,5608.3,0,0,1345.2,2415.5,1116.2,851.9,664.7,943.2,626.9,666.8,956.1,1277.9
